	class	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17
YDR025w	4	-0.96635	-0.63320	0.34904	-0.35863	0.97284	-0.72051	-0.10704	-0.21388	-1.23862	2.85000	0.49723	-0.11738	-1.40290	-0.28511	0.14799	0.33870	0.88783	
YDR064w	4	-0.95998	-0.60023	-0.50232	-0.29549	-0.07436	-0.90057	-0.54962	-0.64534	-0.90057	2.97637	0.47022	0.00485	-0.85217	0.59124	0.94218	0.37451	0.92128	
YDR111c	2	-1.68380	-1.04403	0.15296	2.17546	0.31806	0.35934	-0.01214	1.01975	1.01975	-1.20913	0.40061	0.44189	0.62763	0.23551	-0.65191	-1.02339	-1.12658	
YDR116c	4	0.15297	0.60965	-2.09236	-1.62300	-0.87455	-0.39250	-1.02678	-0.15148	0.08954	1.10439	1.39615	0.83799	-0.58279	0.76188	0.01343	0.55891	1.21856	
YDR206w	1	-0.32395	2.53209	-0.51677	0.17013	0.82087	0.21833	-0.79394	0.20628	-0.19140	-0.79394	-1.25187	-1.03495	-1.60134	1.04984	0.61601	0.59191	0.30269	
YDR207c	2	-2.35131	0.26605	-1.32530	0.58013	-0.63432	0.51731	-0.38306	0.62201	-0.13179	-0.42493	-0.29930	-0.32024	-0.06897	2.31805	0.07760	1.01984	0.53825	
YDR253c	2	0.35110	-0.29285	-1.12376	1.11276	2.80227	0.70423	-0.70138	-0.51443	-0.72215	-1.55306	-0.75678	-0.04358	-0.16129	-0.01588	0.02566	0.80117	0.08798	
YDR322w	4	0.43311	1.18828	-2.25717	-1.06149	-1.12442	0.40165	-0.99856	-0.60524	0.60617	-0.49512	0.98375	0.52751	-0.71537	0.79496	0.32298	1.37707	0.62190	
YDR337w	4	-0.95991	-0.15868	-0.81746	-1.28040	-1.68101	-0.03404	-0.36343	-0.72844	-0.07855	1.58623	0.85622	0.40219	-0.31002	0.53572	-0.14977	1.15890	2.02245	
YDR347w	4	0.59453	1.78674	-1.73620	-1.08102	-0.66213	-0.10362	-1.86509	-0.30769	-0.02843	0.22934	1.18526	0.69119	-0.57621	0.76638	-0.41510	0.93823	0.58379	
YDR353w	2	-1.33954	-0.16466	0.74428	-0.44407	-0.41209	-0.76725	-0.02158	-1.36142	-1.18973	2.05886	0.19218	0.03396	-0.92715	1.40746	0.34704	1.40241	0.44130	
YDR364c	1	-0.07768	1.98241	0.92595	0.42414	-1.58313	1.11083	1.16366	-0.34180	0.29208	-1.47749	-1.13414	-0.94926	-0.02486	0.16002	-1.05490	0.45055	0.13361	
YDR382w	4	-0.64793	-0.78803	-0.13781	-0.74851	0.19568	-0.98322	-0.69882	-0.69822	-0.94849	2.75344	0.59503	0.16874	-1.04009	0.84111	0.96145	0.33219	0.84350	
YDR405w	4	-0.79315	1.62254	-0.27550	-1.06429	0.75980	0.90769	0.66120	-1.13824	-0.37410	0.75980	-0.96569	-0.81779	-1.08894	0.85839	-0.86709	1.84439	-0.02900	
YDR418w	4	-1.14831	-0.41375	0.03311	-0.53397	-0.39883	-0.76113	-0.06720	-1.09359	-0.97255	2.44073	0.00244	-0.26038	-0.89213	1.16479	0.75523	1.45331	0.69222	
YDR447c	4	-0.59374	-0.65354	-0.39043	-0.15005	0.22427	-0.98600	-0.79346	-0.89990	-1.00514	2.86247	0.43834	0.00302	-0.96328	0.62371	0.90834	0.46465	0.91073	
YDR450w	4	-0.70011	-0.58803	-0.05223	-0.47089	0.23194	-0.82664	-0.54103	-0.67986	-0.95824	3.19365	0.34112	-0.03343	-1.00813	0.43584	0.51610	0.35775	0.78220	
YDR471w	4	-1.15168	-0.59946	-0.18095	-0.42624	0.08528	-0.71804	-0.28441	-1.04821	-0.96450	2.58127	0.34917	0.14224	-1.24119	0.76885	0.93510	0.63167	1.12111	
YDR500c	4	-0.51056	-0.17260	-0.32397	-0.08311	-0.14213	-0.84567	-1.06083	-1.13604	-1.08653	2.61301	0.64519	0.21488	-1.11985	0.97173	1.02790	0.17870	0.82988	
YEL032w	1	-0.42287	0.87044	-0.35569	-0.60763	-0.87637	-0.99394	0.18180	2.21414	1.18957	1.64307	0.04742	-0.69161	-0.69161	-1.04433	-1.19550	0.28257	0.45054	
YEL062w	2	2.82104	0.62021	-0.30107	-0.76171	-0.55698	-0.86408	-0.60816	0.10839	-0.14753	-0.40344	-0.19871	-0.65935	1.23439	-0.14753	-0.91526	-0.65935	1.43912	
YER018c	3	-0.79373	-0.71232	0.73268	1.56711	2.74753	0.69197	0.08141	0.02035	-0.87514	-0.63091	-0.85479	-0.14246	0.02035	0.14246	-0.18317	-0.56986	-1.24148	
YER056c	4	-0.50423	0.50043	0.77695	-0.44893	-0.58718	-2.14487	-0.04337	0.62026	-0.47658	2.74940	0.75851	-0.57797	-0.24615	-0.70701	0.20549	-0.09868	0.22392	
YER070w	1	-1.11867	0.92995	2.48092	0.70770	-0.14751	-0.54370	-0.90125	-1.06069	-1.08002	0.11823	0.98310	1.03625	0.61106	0.01677	-0.64034	-0.70798	-0.68382	
YER074w	4	-1.05701	0.86023	1.21062	0.24539	-0.35623	-1.69168	-0.82562	-0.76612	-0.79917	0.41067	0.12639	0.26522	-0.42234	-0.81240	0.83378	2.40724	0.37100	
YER074w	4	-1.05701	0.86023	1.21062	0.24539	-0.35623	-1.69168	-0.82562	-0.76612	-0.79917	0.41067	0.12639	0.26522	-0.42234	-0.81240	0.83378	2.40724	0.37100	
YER102w	4	-0.08058	-0.61788	0.34285	1.09363	0.55990	-0.73885	0.23135	0.21949	-1.13263	2.98068	0.08191	-0.78986	-0.61076	-0.94760	-0.87881	-0.33322	0.62039	
YER117w	4	-1.07856	-0.53127	-0.12599	0.94491	-0.35674	-1.02827	-0.73836	-0.62594	-1.09335	3.08080	-0.01949	0.22605	-0.12895	0.17280	0.37100	0.75558	0.17576	
YER131w	4	-0.87195	-0.70316	0.06008	0.30829	0.75135	-0.50956	0.16557	-0.51949	-1.17849	3.21607	-0.26383	-0.09877	-0.50832	0.11345	-0.96627	0.45846	0.54657	
YFL036w	1	-0.70251	1.75628	-1.75628	-1.61578	0.07025	0.42151	0.00000	0.56201	0.84301	0.00000	-0.07025	-0.28100	-0.77276	-0.07025	-1.05377	1.05377	1.61578	
YFR030w	2	-0.67907	-0.87539	-0.75760	0.47535	2.98835	1.73970	0.02772	-0.58483	-0.74189	-0.46703	-0.67907	-0.61624	0.14551	-0.03511	-0.13720	0.05913	0.13766	
YGL093w	3	-0.62900	-0.95993	1.79090	1.37724	1.64612	0.46719	-0.46354	-1.10471	-1.47700	-0.52559	-0.00852	0.19831	0.54992	0.73607	0.28104	-0.81515	-1.06335	
YGL125w	4	-1.75456	-1.89270	-1.17013	0.64694	1.27389	0.72133	0.54068	-0.19252	-0.50068	-0.46880	-0.46880	-0.41567	1.48641	0.80634	-0.22440	0.85947	0.75321	
YGL201c	1	-0.97243	0.59023	-0.47896	-1.24658	-1.54815	-0.86277	0.69989	1.65942	1.41269	1.41269	0.48057	0.09676	-1.27400	-0.47896	-0.28705	0.23383	0.56282	
YGR019w	2	3.36011	0.34693	-0.90244	-0.84732	-0.66359	-0.59010	-0.24101	-0.66359	0.32855	0.62252	0.19994	0.32855	-0.59010	-0.75546	0.29181	0.10808	-0.33288	
YGR109c	1	-0.37784	0.55571	2.98645	0.43241	-0.75361	-0.69489	-0.55398	-0.88278	-0.78884	0.90212	1.20156	0.34434	-0.26628	-0.24280	-0.56572	-0.74186	-0.55398	
YGR118w	4	-0.43490	-0.48544	0.34968	0.02718	0.08013	-0.61300	-0.12203	-0.48063	-0.84645	3.62760	0.17158	0.00552	-0.69483	-0.56968	-0.01133	0.23416	-0.23755	
YGR180c	1	-0.65015	-0.91166	-0.35788	0.45741	-0.91166	-1.01164	-0.51170	-1.38852	0.72661	1.24193	1.78802	1.05734	-0.73475	-0.38864	1.61112	0.58047	-0.59631	
YGR214w	4	-0.54368	-0.31744	0.58751	-0.27593	1.43227	-0.43575	-0.26970	-0.79275	-0.92143	2.62780	-0.25933	0.05201	-0.93804	-0.84049	-1.00031	1.07527	0.81998	
YHL001w	4	-0.89491	0.09687	1.01464	1.03314	-0.23249	-1.17616	0.25600	-0.72838	-1.26498	2.63183	-0.26580	-0.70618	-1.01333	-0.08816	0.00435	0.52615	0.80740	
YHR141c	4	-0.81264	-0.53447	0.44496	-0.86640	0.16445	-0.67940	-0.86874	-1.13288	-0.85939	2.55576	0.64599	1.01532	-0.52279	-0.75654	0.65066	0.34211	1.21401	
YHR147c	4	0.89081	-0.41039	-1.18558	-1.03331	-1.29632	-0.95025	-0.85335	-1.19942	0.82160	0.10178	1.13998	0.73854	-0.78414	0.40632	1.44451	1.26456	0.90465	
YHR172w	3	-0.70615	0.12617	1.72678	1.79081	0.86245	1.34264	0.19019	-0.86622	-0.93024	-0.83420	-0.35402	-0.19396	0.70239	0.31824	-0.73817	-0.96225	-1.47445	
YIL069c	4	-1.81881	-0.15377	0.87855	0.00857	0.21254	-0.61998	1.08252	0.66626	-1.12782	2.17312	0.80363	-0.19540	-1.14863	-0.81562	0.50808	-0.86974	0.41650	
YIL144w	3	-1.30819	-0.86944	-0.45811	0.28229	0.11775	1.70823	0.94041	-0.04678	0.63877	-1.25335	-0.23873	0.63877	-0.67749	0.63877	1.92761	-0.62264	-1.41788	
YIL150c	1	-0.37204	-1.67163	-1.41171	-0.45868	-1.49835	0.32107	0.14780	-0.37204	0.23444	-0.63196	-0.11212	0.84091	1.18747	1.79394	1.44738	-0.11212	0.66763	
YIR017c	2	-0.80628	-1.11655	-0.40475	1.43863	2.53370	1.78540	-0.42300	-0.82453	-0.75152	-0.80628	-0.24049	0.19754	-0.00322	-0.11273	-0.13098	-0.22224	-0.11273	
YIR029w	2	-0.07968	-0.29357	-1.29170	0.34809	-1.00652	-0.36486	-0.43616	-0.22227	0.49068	-0.43616	-0.22227	-0.00839	2.84341	-0.36486	1.70269	-1.00652	0.34809	
YIR032c	2	0.45442	-0.08454	-1.22983	-1.52177	-0.78070	-0.12946	-0.60105	-0.82561	0.36459	-0.57859	-0.10700	1.06075	-0.57859	0.85864	2.45306	1.26286	-0.01717	
YJL035c	2	0.54624	0.80781	1.33097	1.20018	0.93860	1.72334	-0.23850	-1.11042	0.28466	-0.50008	-0.10771	0.19747	-1.11042	-0.89244	-0.19490	-1.19762	-1.67717	
YJL060w	2	-0.69353	-1.49102	-1.66345	0.21174	0.55660	1.95760	-0.62887	-0.90907	-0.75819	-0.56420	-0.43488	0.10397	0.62126	1.16011	1.13855	0.57815	0.81524	
YJL063c	4	-0.29919	0.12597	-1.35423	-1.32273	-1.24400	-0.12597	-0.74010	-1.22825	0.81883	0.83458	1.44871	1.65342	-0.14172	0.37792	1.44871	0.18896	-0.44091	
YJL096w	4	0.20238	1.70605	-0.53142	-1.06071	-1.36145	-0.35098	-0.94042	0.88805	-0.56751	-0.02618	2.49999	-0.26677	-0.50736	-0.72389	0.04599	0.31064	0.68355	
YJL136c	4	-0.49145	-0.97281	0.76073	0.04673	0.11641	-0.99962	-0.69729	-0.32314	-0.68871	2.92418	-0.30598	-0.21057	-0.98246	1.50261	-0.07870	0.47878	-0.07870	
YJL172w	2	0.12675	-0.92227	-0.72381	-0.99315	-1.50348	-1.24832	-1.10656	-0.70963	0.04169	1.28918	1.58687	0.84972	1.38841	0.32521	0.48115	0.18345	0.93478	
YJL173c	1	-1.23217	-0.91210	1.38471	1.66329	1.18615	-0.18008	-0.91506	-1.28848	-0.94174	1.10613	0.55193	1.16540	-0.30752	0.39486	-0.36976	-0.56239	-0.74317	
YJL177w	4	-0.86408	-1.00095	1.15826	0.10477	0.13358	-0.87129	-1.05137	0.54957	-0.75063	2.87445	0.31006	-0.40487	-0.88569	0.85391	-0.02129	0.16239	-0.29682	
YJL177w	4	-0.86408	-1.00095	1.15826	0.10477	0.13358	-0.87129	-1.05137	0.54957	-0.75063	2.87445	0.31006	-0.40487	-0.88569	0.85391	-0.02129	0.16239	-0.29682	
YJL189w	4	-0.35969	-0.70371	0.55249	-0.24517	0.41747	-0.58072	-0.65915	0.25883	-0.98222	3.28457	0.14475	-0.52457	-1.11635	0.79490	-0.26166	0.01284	-0.03261	
YJL190c	4	-0.63172	-0.53554	0.30804	-0.19711	0.13277	-0.85900	-0.94236	0.11211	-0.77564	3.31829	0.01094	-0.35742	-0.91458	0.85879	-0.06672	0.44270	0.09644	
YJL191w	4	-0.14719	-0.75488	-0.22468	-0.78139	0.48294	0.77048	0.32592	1.01315	-0.50405	1.60861	-1.61544	-0.46327	-1.30140	2.25505	0.02615	-0.11660	-0.57339	
YJL194w	1	-1.29859	1.71422	-0.52745	-1.11926	-0.63505	-0.02532	-0.36605	-0.76059	1.44522	2.05496	-0.22259	0.20782	-0.36605	0.01055	-0.77852	-0.49159	1.15829	
YJR006w	1	-0.55181	-0.65137	2.35754	1.14070	0.37741	0.51016	0.16723	-0.45225	-0.18676	-1.07173	-1.95670	1.16283	0.65397	0.15617	-0.46331	-0.72880	-0.46331	
YJR010w	2	-0.54776	-0.86629	-0.59255	0.44764	2.32396	2.67235	0.30828	-0.23919	-0.56269	-0.80656	-0.47808	-0.41338	-0.13965	-0.31384	-0.29393	-0.31384	-0.18444	
YJR043c	1	-0.99931	0.02614	2.25649	1.73522	0.51323	0.52177	0.31668	-0.04222	-0.52077	-1.66585	0.08596	0.42777	0.34232	-0.23022	-0.61477	-1.35821	-0.79422	
YJR094w	4	-0.28909	-0.71363	0.49327	-0.13646	-0.32952	-0.85514	-0.54685	-0.52360	-0.71969	3.24873	-0.75103	-0.01617	-0.56706	0.66713	-0.37602	0.40230	1.01283	
YJR123w	4	-0.66198	-0.78918	-0.02353	-0.24843	0.33902	-0.70438	-0.53233	-0.40759	-0.64969	3.54418	0.26466	-0.06839	-0.55691	0.21120	-0.40021	0.41091	0.27265	
YJR137c	2	-1.26337	-1.11770	-1.02269	0.17436	2.85981	1.21307	0.33903	-0.26899	-0.71868	-0.73135	-0.64268	-0.19932	0.32003	-0.00931	0.02235	0.31370	0.73172	
YJR145c	4	-0.45068	-0.69409	0.40613	-0.25162	0.45374	-0.71573	-0.40741	-0.60755	-0.52316	3.20485	-1.35402	0.16488	-0.27759	0.22330	-0.56211	0.60087	0.79019	
YJR149w	2	2.26089	-0.92386	-0.83661	-0.74935	-0.92386	-1.40376	-1.09837	-0.35671	1.82463	0.69033	0.07955	0.42857	0.34132	-0.22583	0.16681	0.07955	0.64670	
YKL001c	2	-1.27262	-1.31992	-0.74513	1.36122	2.15792	1.44489	0.08795	-0.94885	-1.27626	-0.28311	0.36807	-0.25037	-0.14487	0.40445	-0.03210	-0.21399	0.66274	
YKL006w	4	0.15257	-0.55460	1.30247	0.14549	-0.38932	-1.17205	-1.16851	0.28716	-1.00205	2.90926	-0.19334	-0.36807	-0.64669	0.78301	-0.46960	0.26945	0.11480	
YKL042w	3	-1.24551	-0.45519	1.82024	0.47409	-0.26412	-0.11648	-0.83732	-0.92417	-0.92417	0.76069	2.10684	1.07334	0.39593	0.30039	-0.35965	-0.76784	-1.03707	
YKL045w	1	-0.96175	-0.02982	3.11415	1.29126	-0.51626	-0.03494	-0.48042	-0.92078	-0.63404	-0.39337	-0.06566	0.61024	0.20572	0.58464	-0.57771	-0.56747	-0.62379	
YKL112w	1	-1.04337	-2.01809	0.00000	-0.05491	0.19906	0.08237	0.16474	0.44618	-0.91981	-0.67270	0.98845	-0.35694	0.56973	2.16224	1.48954	-0.06864	-0.96786	
YKL112w	2	-1.04337	-2.01809	0.00000	-0.05491	0.19906	0.08237	0.16474	0.44618	-0.91981	-0.67270	0.98845	-0.35694	0.56973	2.16224	1.48954	-0.06864	-0.96786	
YKL113c	1	-0.95856	-0.16308	2.26669	1.53028	0.32524	-0.60020	-0.87587	-0.99401	-0.71047	0.60484	0.77023	1.25855	0.36462	-0.35604	-0.71441	-0.93887	-0.80892	
YKL156w	4	-0.98533	-0.36901	0.28519	-0.04995	0.00022	-0.71362	-0.69658	0.25300	-0.87740	3.27120	0.28235	-0.38226	-0.98912	0.83241	-0.13137	0.54081	-0.27054	
YKL180w	4	-0.38766	-0.52415	0.48856	0.03360	0.16335	-0.81313	-0.68085	0.17262	-0.92687	3.43822	0.20885	-0.11468	-0.99427	0.48098	-0.36996	0.06225	-0.23685	
YKR054c	3	-1.16134	-0.14759	-1.28805	0.23257	0.51135	1.34769	2.36143	0.48600	1.01822	-0.17293	0.43531	-0.93324	-0.62912	-0.52774	-1.26271	0.40997	-0.67981	
YKR057w	4	-0.54519	-0.51674	0.04416	-0.56654	0.10655	-0.87024	-0.87626	-0.05160	-0.56271	3.45609	-0.19771	-0.03190	-0.62016	0.54597	-0.14846	0.74844	0.08630	
YKR094c	4	-0.39140	-0.48670	-0.00402	-0.20301	0.17467	-0.60538	-1.17675	-0.15094	-0.75319	3.52694	0.28364	-0.06667	-0.67951	0.32291	-0.11653	0.30438	0.02157	
YKR094c	4	-0.39140	-0.48670	-0.00402	-0.20301	0.17467	-0.60538	-1.17675	-0.15094	-0.75319	3.52694	0.28364	-0.06667	-0.67951	0.32291	-0.11653	0.30438	0.02157	
